session,amplitude,presence,response_presence,reaction_time
3,2.5111,1,1,0.2799
3,2.5111,1,1,0.1819
3,2.5111,1,1,0.2061
3,2.5111,0,0,0.3017
3,2.5111,1,1,0.2559
3,2.5111,0,0,0.1879
3,2.5111,1,1,0.1721
3,2.5111,0,0,0.4375
3,2.5111,0,0,0.2837
3,2.5111,0,0,0.3281
3,2.5111,1,1,0.2399
3,2.5111,0,0,0.246
3,2.5111,1,1,0.2601
3,2.5111,0,0,0.2559
3,2.5111,0,0,0.2061
3,2.5111,1,1,0.2079
3,2.5111,0,0,0.198
3,2.5111,0,0,0.2822
3,2.5111,0,0,0.27
4,2.5111,0,0,0.5062
4,2.5111,1,1,0.2061
4,2.5111,0,0,0.2116
4,2.5111,1,1,0.1799
4,2.5111,0,0,0.2114
4,2.5111,0,0,0.25
4,2.5111,1,1,0.1776
4,2.5111,0,0,0.2804
4,2.5111,1,1,0.4379
4,2.5111,0,0,0.1839
4,2.5111,1,1,0.1834
4,2.5111,0,0,0.2958
4,2.5111,0,0,0.308
4,2.5111,1,1,0.2296
4,2.5111,0,1,0.3399
4,2.5111,1,1,0.3999
4,2.5111,1,1,0.206
4,2.5111,0,0,0.3418
4,2.5111,0,0,0.3299
4,2.5111,0,0,0.2958
3,2.2667,0,0,0.2446
3,2.2667,0,0,0.2099
3,2.2667,0,0,0.2021
3,2.2667,0,0,0.2018
3,2.2667,0,1,0.376
3,2.2667,0,0,0.2321
3,2.2667,1,1,0.2961
3,2.2667,0,0,0.2363
3,2.2667,1,1,0.3718
3,2.2667,1,1,0.4062
3,2.2667,0,0,0.3562
3,2.2667,1,1,0.2919
3,2.2667,0,0,0.1821
3,2.2667,0,0,0.192
3,2.2667,1,1,0.1882
3,2.2667,1,0,0.17
3,2.2667,0,0,0.1641
3,2.2667,1,1,0.214
3,2.2667,0,0,0.22
3,2.2667,0,0,0.3157
4,2.2667,0,0,0.4663
4,2.2667,1,1,0.2398
4,2.2667,1,1,0.234
4,2.2667,0,0,0.2399
4,2.2667,0,0,0.3419
4,2.2667,1,1,0.3058
4,2.2667,1,1,0.1499
4,2.2667,0,0,0.2641
4,2.2667,1,1,0.3179
4,2.2667,1,0,0.4338
4,2.2667,1,1,0.1824
4,2.2667,0,0,0.2541
4,2.2667,0,0,0.3398
4,2.2667,1,1,0.2479
4,2.2667,1,1,0.3255
4,2.2667,0,0,0.3099
4,2.2667,0,1,0.2265
4,2.2667,0,0,0.2319
4,2.2667,0,0,0.4078
4,2.2667,0,0,0.4297
3,2.0222,1,1,0.2563
3,2.0222,1,1,0.2138
3,2.0222,0,0,0.2161
3,2.0222,1,1,0.2722
3,2.0222,0,0,0.2546
3,2.0222,0,0,0.2761
3,2.0222,1,1,0.2179
3,2.0222,1,1,0.2359
3,2.0222,1,1,0.22
3,2.0222,0,0,0.3805
3,2.0222,1,1,0.3139
3,2.0222,0,0,0.3958
3,2.0222,0,0,0.266
3,2.0222,0,0,0.272
3,2.0222,1,1,0.3719
3,2.0222,1,1,0.2619
3,2.0222,0,0,0.3319
3,2.0222,0,0,0.3261
3,2.0222,0,0,0.274
3,2.0222,0,0,0.2239
4,2.0222,0,1,0.5501
4,2.0222,1,1,0.2459
4,2.0222,0,0,0.2917
4,2.0222,0,0,0.3039
4,2.0222,1,1,0.2737
4,2.0222,1,1,0.3038
4,2.0222,1,1,0.2105
4,2.0222,0,0,0.3238
4,2.0222,0,0,0.3477
4,2.0222,0,0,0.3419
4,2.0222,1,1,0.3978
4,2.0222,1,1,0.2063
4,2.0222,1,0,0.3341
4,2.0222,1,1,0.1857
4,2.0222,1,1,0.3737
4,2.0222,0,1,0.4635
4,2.0222,1,1,0.2338
4,2.0222,1,1,0.386
4,2.0222,0,0,0.3458
4,2.0222,1,1,0.2059
